date,home_team,away_team,winner,first_shooter
1/28/1990,Nigeria,Senegal,Nigeria,
2/4/1990,United States,Colombia,Colombia,Colombia
2/20/1990,Colombia,Russia,Colombia,Colombia
5/18/1990,Zimbabwe,Eswatini,Zimbabwe,
6/25/1990,Republic of Ireland,Romania,Republic of Ireland,Romania
6/30/1990,Yugoslavia,Argentina,Argentina,Argentina
7/3/1990,Italy,Argentina,Argentina,Italy
7/4/1990,Germany,England,Germany,England
8/3/1990,China PR,South Korea,South Korea,
10/1/1990,Saudi Arabia,North Korea,North Korea,
10/6/1990,Iran,North Korea,Iran,
12/17/1990,Tanzania,Uganda,Uganda,
12/17/1990,Central African Republic,Equatorial Guinea,Central African Republic,
1/21/1991,Cameroon,Algeria,Cameroon,
1/21/1991,Senegal,Ivory Coast,Ivory Coast,
1/22/1991,Senegal,Algeria,Senegal,
1/23/1991,Ivory Coast,Cameroon,Ivory Coast,
6/14/1991,South Korea,Australia,South Korea,
6/16/1991,Italy,Russia,Italy,Russia
7/7/1991,United States,Honduras,United States,United States
8/8/1991,Czechoslovakia,Yugoslavia,Czechoslovakia,
9/20/1991,Fiji,Solomon Islands,Fiji,
9/28/1991,Egypt,Mali,Egypt,
12/2/1991,Indonesia,Singapore,Indonesia,
12/4/1991,Indonesia,Thailand,Indonesia,
1/23/1992,Cameroon,Ivory Coast,Ivory Coast,
1/26/1992,Ghana,Ivory Coast,Ivory Coast,Ghana
6/22/1992,Netherlands,Denmark,Denmark,Netherlands
6/27/1992,Cuba,Martinique,Martinique,
8/29/1992,Japan,South Korea,Japan,
9/15/1992,Syria,Egypt,Egypt,
11/8/1992,China PR,United Arab Emirates,China PR,
11/25/1992,Uganda,Zambia,Uganda,
1/23/1993,Japan,Switzerland,Switzerland,
2/20/1993,Finland,Estonia,Finland,
2/24/1993,Argentina,Denmark,Argentina,Argentina
5/27/1993,Bolivia,Paraguay,Bolivia,
5/28/1993,Martinique,Saint Kitts and Nevis,Martinique,
5/30/1993,Jamaica,Martinique,Martinique,
6/17/1993,Singapore,Myanmar,Singapore,
6/26/1993,Colombia,Uruguay,Colombia,Colombia
6/27/1993,Brazil,Argentina,Argentina,Brazil
7/1/1993,Colombia,Argentina,Argentina,Colombia
8/15/1993,Australia,Canada,Australia,Australia
10/24/1993,Burundi,Guinea,Guinea,
1/29/1994,Burkina Faso,Guinea,Burkina Faso,
4/6/1994,Nigeria,Ivory Coast,Nigeria,
7/5/1994,Mexico,Bulgaria,Bulgaria,Mexico
7/10/1994,Romania,Sweden,Sweden,Sweden
7/17/1994,Brazil,Italy,Brazil,Italy
12/8/1994,Tanzania,Uganda,Tanzania,
1/10/1995,Denmark,Mexico,Denmark,Denmark
1/13/1995,Mexico,Nigeria,Mexico,
2/26/1995,Japan,South Korea,Japan,
3/31/1995,India,Bangladesh,India,
5/21/1995,Antigua and Barbuda,Saint Kitts and Nevis,Antigua and Barbuda,
6/9/1995,Paraguay,Bolivia,Paraguay,
7/16/1995,Paraguay,Colombia,Colombia,Colombia
7/17/1995,United States,Mexico,United States,United States
7/17/1995,Brazil,Argentina,Brazil,Brazil
7/23/1995,Uruguay,Brazil,Uruguay,Uruguay
8/24/1995,Fiji,Solomon Islands,Solomon Islands,
11/28/1995,Mauritania,Sierra Leone,Sierra Leone,
12/2/1995,Gabon,Cameroon,Cameroon,
12/2/1995,Algeria,Ivory Coast,Ivory Coast,
12/6/1995,Ethiopia,Zanzibar,Zanzibar,
12/7/1995,Honduras,Costa Rica,Honduras,
1/28/1996,Gabon,Tunisia,Tunisia,
2/22/1996,Japan,Sweden,Sweden,
4/28/1996,Barbados,Jamaica,Jamaica,
5/5/1996,Guyana,Suriname,Suriname,
6/5/1996,Martinique,Suriname,Martinique,
6/22/1996,England,Spain,England,England
6/22/1996,France,Netherlands,France,Netherlands
6/26/1996,France,Czech Republic,Czech Republic,France
6/26/1996,England,Germany,Germany,England
8/25/1996,Ethiopia,Uganda,Ethiopia,
11/29/1996,Sudan,Kenya,Sudan,
12/11/1996,Morocco,Croatia,Croatia,
12/12/1996,Croatia,Czech Republic,Croatia,
12/19/1996,Iran,Saudi Arabia,Saudi Arabia,Iran
12/21/1996,Iran,Kuwait,Iran,Kuwait
12/21/1996,United Arab Emirates,Saudi Arabia,Saudi Arabia,Saudi Arabia
12/27/1996,Benin,Burkina Faso,Benin,
2/7/1997,Russia,Serbia,Russia,
4/10/1997,India,Iraq,Iraq,
6/22/1997,Ecuador,Mexico,Mexico,Ecuador
7/10/1997,Trinidad and Tobago,Jamaica,Trinidad and Tobago,
10/18/1997,Indonesia,Thailand,Thailand,
10/20/1997,Haiti,Cuba,Haiti,
10/22/1997,Cuba,Cameroon,Cuba,
12/7/1997,Gambia,Guinea,Guinea,
1/31/1998,Egypt,South Korea,South Korea,
1/31/1998,Iran,Chile,Iran,
2/21/1998,Burkina Faso,Tunisia,Burkina Faso,
2/21/1998,Ivory Coast,Egypt,Egypt,
2/27/1998,Burkina Faso,DR Congo,DR Congo,
4/22/1998,Hungary,North Macedonia,Hungary,
5/29/1998,Belgium,England,Belgium,Belgium
5/29/1998,Morocco,France,Morocco,Morocco
6/30/1998,Argentina,England,Argentina,Argentina
7/3/1998,France,Italy,France,France
7/7/1998,Brazil,Netherlands,Brazil,Brazil
9/5/1998,Indonesia,Thailand,Indonesia,
11/17/1998,Guatemala,Honduras,Guatemala,
11/18/1998,Guatemala,Mexico,Guatemala,
12/2/1998,United Arab Emirates,North Korea,United Arab Emirates,
12/14/1998,Qatar,Kuwait,Kuwait,
5/22/1999,Malawi,Namibia,Namibia,
6/16/1999,Thailand,New Zealand,Thailand,
6/19/1999,New Zealand,Poland,Poland,
7/10/1999,Mexico,Peru,Mexico,Mexico
7/10/1999,Paraguay,Uruguay,Uruguay,Uruguay
7/13/1999,Uruguay,Chile,Uruguay,Uruguay
7/18/1999,Eswatini,Zimbabwe,Eswatini,
7/31/1999,Namibia,South Africa,Namibia,
