date,home_team,away_team,winner,first_shooter
7/3/2021,Uruguay,Colombia,Colombia,Colombia
7/6/2021,Italy,Spain,Italy,Italy
7/6/2021,Trinidad and Tobago,French Guiana,Trinidad and Tobago,French Guiana
7/6/2021,Argentina,Colombia,Argentina,Colombia
7/6/2021,Guatemala,Guadeloupe,Guadeloupe,Guatemala
7/11/2021,England,Italy,Italy,Italy
7/16/2021,Senegal,Eswatini,Senegal,Eswatini
7/18/2021,Eswatini,Mozambique,Eswatini,Mozambique
7/18/2021,South Africa,Senegal,South Africa,South Africa
11/19/2021,Sri Lanka,Seychelles,Seychelles,
12/11/2021,Morocco,Algeria,Algeria,Algeria
12/18/2021,Qatar,Egypt,Qatar,Qatar
1/23/2022,Burkina Faso,Gabon,Burkina Faso,Gabon
1/26/2022,Ivory Coast,Egypt,Egypt,Ivory Coast
1/26/2022,Mali,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea
2/3/2022,Cameroon,Egypt,Egypt,Cameroon
2/5/2022,Cameroon,Burkina Faso,Cameroon,Cameroon
2/6/2022,Senegal,Egypt,Senegal,Senegal
3/25/2022,Tajikistan,Uganda,Uganda,
3/29/2022,Kazakhstan,Moldova,Kazakhstan,Moldova
3/29/2022,Senegal,Egypt,Senegal,Senegal
6/13/2022,Australia,Peru,Australia,Australia
6/14/2022,Chile,Ghana,Ghana,Chile
9/22/2022,Thailand,Malaysia,Malaysia,
9/23/2022,Iraq,Oman,Oman,
9/25/2022,Malaysia,Tajikistan,Tajikistan,
11/16/2022,Lithuania,Iceland,Iceland,Lithuania
11/16/2022,Latvia,Estonia,Latvia,Latvia
11/19/2022,Latvia,Iceland,Iceland,Iceland
12/5/2022,Japan,Croatia,Croatia,Japan
12/6/2022,Morocco,Spain,Morocco,Morocco
12/9/2022,Croatia,Brazil,Croatia,Croatia
12/9/2022,Netherlands,Argentina,Argentina,Netherlands
12/18/2022,Argentina,France,Argentina,France
6/16/2023,Curaçao,Saint Kitts and Nevis,Saint Kitts and Nevis,Saint Kitts and Nevis
6/17/2023,Guyana,Grenada,Guyana,Guyana
6/17/2023,Suriname,Puerto Rico,Puerto Rico,Suriname
6/18/2023,Croatia,Spain,Spain,Croatia
6/20/2023,Saint Kitts and Nevis,French Guiana,Saint Kitts and Nevis,French Guiana
7/1/2023,India,Lebanon,India,India
7/4/2023,India,Kuwait,India,India
7/9/2023,United States,Canada,United States,Canada
7/9/2023,Orkney,Greenland,Greenland,
7/13/2023,Åland,Falkland Islands,Åland,Åland
7/12/2023,United States,Panama,Panama,United States
9/7/2023,Iraq,India,Iraq,India
9/10/2023,Thailand,Iraq,Iraq,Thailand
10/13/2023,Iraq,Qatar,Qatar,Qatar
11/21/2023,Mexico,Honduras,Mexico,Mexico
1/28/2024,Egypt,DR Congo,DR Congo,Egypt
1/28/2024,Tajikistan,United Arab Emirates,Tajikistan,Tajikistan
1/29/2024,Ivory Coast,Senegal,Ivory Coast,Senegal
1/30/2024,Saudi Arabia,South Korea,South Korea,Saudi Arabia
1/31/2024,Iran,Syria,Iran,Iran
2/3/2024,Cape Verde,South Africa,South Africa,Cape Verde
2/3/2024,Qatar,Uzbekistan,Qatar,Uzbekistan
2/7/2024,Nigeria,South Africa,Nigeria,Nigeria
